"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1994,06,1,01,18,GORAFE,01,001 ,U,0000468,0000468,0000000,0000000,0000226,0000288,0000003,0000001,0000357,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,006 ,B,0000842,0000842,0000000,0000000,0000372,0000523,0000010,0000000,0000629,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,012 ,A,0000817,0000817,0000000,0000000,0000317,0000428,0000006,0000007,0000534,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,018 ,A,0000677,0000677,0000000,0000000,0000301,0000398,0000001,0000000,0000467,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,002 ,U,0001294,0001294,0000000,0000000,0000512,0000705,0000008,0000005,0000873,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,003 ,B,0000888,0000888,0000000,0000000,0000400,0000543,0000005,0000002,0000655,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,021 ,U,0001066,0001066,0000000,0000000,0000355,0000498,0000003,0000002,0000640,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,015 ,U,0001062,0001062,0000000,0000000,0000463,0000574,0000011,0000002,0000704,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,005 ,U,0001033,0001033,0000000,0000000,0000464,0000605,0000010,0000001,0000746,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,010 ,U,0001285,0001285,0000000,0000000,0000503,0000722,0000014,0000000,0000922,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,019 ,A,0000749,0000749,0000000,0000000,0000276,0000385,0000004,0000003,0000477,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,030 ,U,0001399,0001399,0000000,0000000,0000478,0000746,0000009,0000000,0000961,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,08,004 ,B,0000548,0000548,0000000,0000000,0000245,0000303,0000006,0000004,0000403,0000000,0000000,N
07,1994,06,1,01,18,ALGARINEJO,01,004 ,A,0000501,0000501,0000000,0000000,0000174,0000253,0000006,0000000,0000330,0000000,0000000,N
07,1994,06,1,01,18,ALGARINEJO,01,004 ,B,0000316,0000316,0000000,0000000,0000067,0000111,0000000,0000000,0000178,0000000,0000000,N
07,1994,06,1,01,18,ALQUIFE,01,001 ,U,0000882,0000882,0000000,0000000,0000348,0000494,0000000,0000001,0000693,0000000,0000000,N
07,1994,06,1,01,18,ATARFE,01,004 ,A,0001165,0001165,0000000,0000000,0000439,0000564,0000003,0000008,0000754,0000000,0000000,N
07,1994,06,1,01,18,BAZA,02,004 ,B,0000823,0000823,0000000,0000000,0000285,0000414,0000002,0000005,0000515,0000000,0000000,N
07,1994,06,1,01,18,CASTRIL,02,001 ,A,0000461,0000461,0000000,0000000,0000081,0000206,0000002,0000001,0000286,0000000,0000000,N
07,1994,06,1,01,18,CÚLLAR,01,001 ,C,0000232,0000232,0000000,0000000,0000110,0000158,0000000,0000000,0000192,0000000,0000000,N
07,1994,06,1,01,18,CÚLLAR,01,002 ,U,0001126,0001126,0000000,0000000,0000530,0000759,0000001,0000002,0000886,0000000,0000000,N
07,1994,06,1,01,18,CÚLLAR VEGA,01,001 ,B,0000919,0000919,0000000,0000000,0000359,0000508,0000007,0000004,0000657,0000000,0000000,N
07,1994,06,1,01,18,FONELAS,01,001 ,U,0000977,0000977,0000000,0000000,0000265,0000401,0000002,0000004,0000591,0000000,0000000,N
07,1994,06,1,01,18,GOBERNADOR,01,001 ,U,0000337,0000337,0000000,0000000,0000124,0000210,0000000,0000001,0000278,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,015 ,A,0000845,0000845,0000000,0000000,0000359,0000507,0000009,0000000,0000622,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,0000726,0000726,0000000,0000000,0000256,0000335,0000002,0000001,0000489,0000000,0000000,N
07,1994,06,1,01,18,ALHENDÍN,01,002 ,A,0000628,0000628,0000000,0000000,0000217,0000330,0000002,0000002,0000426,0000000,0000000,N
07,1994,06,1,01,18,ALMUÑÉCAR,01,003 ,A,0000596,0000596,0000000,0000000,0000257,0000349,0000002,0000000,0000438,0000000,0000000,N
07,1994,06,1,01,18,ATARFE,02,002 ,U,0000901,0000901,0000000,0000000,0000416,0000540,0000005,0000002,0000666,0000000,0000000,N
07,1994,06,1,01,18,BAZA,02,004 ,A,0000493,0000493,0000000,0000000,0000173,0000232,0000000,0000006,0000310,0000000,0000000,N
07,1994,06,1,01,18,CACÍN,01,001 ,B,0000323,0000323,0000000,0000000,0000144,0000193,0000000,0000000,0000241,0000000,0000000,N
07,1994,06,1,01,18,CANILES,02,001 ,C,0000218,0000218,0000000,0000000,0000056,0000110,0000000,0000004,0000147,0000000,0000000,N
07,1994,06,1,01,18,DÚRCAL,01,001 ,A,0000566,0000566,0000000,0000000,0000244,0000339,0000000,0000005,0000434,0000000,0000000,N
07,1994,06,1,01,18,DÚRCAL,01,002 ,A,0000571,0000571,0000000,0000000,0000221,0000319,0000001,0000002,0000410,0000000,0000000,N
07,1994,06,1,01,18,FUENTE VAQUEROS,01,001 ,U,0001155,0001155,0000000,0000000,0000502,0000678,0000007,0000015,0000886,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,001 ,A,0000713,0000713,0000000,0000000,0000301,0000384,0000004,0000002,0000489,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,012 ,B,0001188,0001188,0000000,0000000,0000469,0000647,0000010,0000003,0000789,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,009 ,B,0000901,0000901,0000000,0000000,0000347,0000453,0000007,0000002,0000604,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,014 ,U,0000986,0000986,0000000,0000000,0000408,0000528,0000002,0000006,0000657,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,026 ,B,0000866,0000866,0000000,0000000,0000300,0000400,0000007,0000003,0000514,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,009 ,B,0001008,0001008,0000000,0000000,0000438,0000558,0000006,0000001,0000694,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,010 ,U,0001278,0001278,0000000,0000000,0000551,0000736,0000015,0000008,0000902,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,012 ,A,0000673,0000673,0000000,0000000,0000266,0000366,0000006,0000001,0000476,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,021 ,U,0000977,0000977,0000000,0000000,0000449,0000585,0000010,0000009,0000664,0000000,0000000,N
07,1994,06,1,01,18,DARRO,01,001 ,U,0001201,0001201,0000000,0000000,0000410,0000611,0000001,0000004,0000801,0000000,0000000,N
07,1994,06,1,01,18,DEHESAS DE GUADIX,01,001 ,U,0000478,0000478,0000000,0000000,0000134,0000240,0000002,0000000,0000324,0000000,0000000,N
